from,to,cost
52546,53937,833.1028653922784
52546,56071,583.6218584255809
52546,56074,630.5643884617034
52546,56080,557.3824261108557
52546,56081,606.5810114342809
52546,56082,625.0356411717559
52546,56084,663.2856569591934
52546,56091,650.0581578526536
52546,56092,647.3791498691613
52546,56093,664.2903066192737
52546,56094,742.68344039751
52546,56095,719.6775240233846
52546,56096,805.727009757181
52546,56192,836.3169862107209
52546,57001,709.0821942495031
52546,57002,720.8758995078805
52546,57004,683.9247525054271
52546,57006,748.9878235432609
52546,57007,748.9211459099777
52546,57008,768.892234340545
52546,57011,761.0007335409701
52546,57012,746.6668079438742
52546,57014,757.3196071224538
52546,57102,817.3656596657863
52546,57105,847.9252972531514
52546,57110,835.852372171737
52546,57111,837.3915115619313
52557,52643,59.44359904762214
52557,52652,12.287622951654653
52557,52656,98.00376348416323
52557,52674,186.94239863338828
52557,52679,257.15741086721556
52557,52681,258.68588903737214
52557,52784,303.0243204286006
52557,52787,320.82664371278463
52557,52797,404.1836501587088
52557,52881,357.65437954684757
52557,52884,455.8227185242839
52557,52885,380.0503648434641
52557,52895,489.3819116608216
52557,52896,453.9627426047063
52557,52978,486.56500676228336
52557,52980,448.93365871416205
52557,52981,479.25664591933497
52557,52982,506.32109949462813
52557,52983,506.6786586855333
52557,52984,478.3169835252253
52557,52985,500.6578966601098
52557,52986,533.296247121413
52557,52988,525.2417106523238
52557,52993,580.2644718943374
52557,52995,559.266911423923
52557,52996,600.4373117508768
52557,52998,572.7049836834667
52557,53821,689.0497045491143
52557,53829,767.577393979071
52557,53906,635.8517437482086
52557,53908,626.5079913960027
52557,53915,700.7350389293981
52557,53917,681.7668033648342
52557,53923,760.9991567664453
52557,53924,801.8541617737102
52557,53925,729.9718378146196
52557,53926,763.6237957653066
52557,53927,721.2299412392083
52557,53928,742.8410299698326
52557,53930,749.4924165266178
52557,53934,785.0334462206603
52557,53935,834.8546542801977
52557,53937,795.6934514260292
52557,56071,549.3672385146357
52557,56074,598.1390302785985
52557,56080,521.6688678200675
52557,56081,570.4050495012947
52557,56082,588.7514329122505
52557,56084,628.031499738055
