from,to,cost
57989,59289,233.80630242997347
57989,59290,151.61911225788486
57989,59293,171.61792631295427
57989,59294,193.79168576213291
57989,59297,216.6792126614656
57989,59298,230.83881092838658
57989,59303,237.94089168983982
57989,59304,214.80826524554985
57989,59306,277.62915456492533
57989,59310,283.917856644404
57989,59312,335.48350294087084
57989,59313,360.3739471760783
57989,59314,310.2398551211287
57989,59315,314.1243128772172
57989,59316,349.0024887260639
57989,59317,343.0802727259569
57989,59318,348.6853781482111
57989,59319,360.24348234521904
57989,59324,377.88102111590325
57989,59456,418.8578384219116
57989,59462,344.06235858634915
57989,59469,381.3109781542612
57989,59470,308.44142278188116
57989,59471,295.53363689963663
57989,59473,268.6623760832698
57989,59475,318.37697878418663
57989,59476,292.6221653374508
57989,59477,348.99520789783435
57989,59478,329.7461361442143
57989,59480,252.7261716591422
57989,59481,242.5786315555613
57989,59485,288.562408321692
57989,59487,319.75819431965897
57989,59488,311.2497720781029
57989,59492,253.32842978485033
57989,59493,283.72003231350334
57989,59500,281.92727205076716
57989,59501,300.5847898108867
57989,59502,303.7012891588708
57989,59650,544.4977348028079
57989,59653,459.3495356742616
57989,59654,521.8705120209664
57989,59655,498.5162384346281
57989,59656,507.8517899491625
57989,59658,562.6395965263072
57989,59659,470.4420147486162
57989,59663,404.8010637952496
57989,59664,486.43400301997065
57989,59673,385.58181844936604
57989,59750,593.2216678173118
57989,59754,643.5988278101084
57996,59071,202.68395345462505
57996,59072,192.30618979539915
57996,59074,219.6304888777703
57996,59075,176.82997336021515
57996,59081,103.45665508486474
57996,59082,79.9519328414295
57996,59087,152.68920276878268
57996,59088,130.73414911245206
57996,59090,23.21929180209676
57996,59094,82.31964365039703
57996,59096,82.38729281560069
57996,59097,114.77076430387612
57996,59099,98.19825613115728
57996,59106,175.74264571492827
57996,59107,149.29348401545917
57996,59109,182.0749230666907
57996,59114,199.73871924574775
57996,59116,261.45251308971353
57996,59117,204.50021348152052
57996,59264,335.9791606902303
57996,59268,343.22598944258357
57996,59269,328.8902925743538
57996,59270,246.24919569139666
57996,59271,245.1886356300985
57996,59276,251.93499540441908
57996,59278,292.4903641991084
57996,59279,253.74698239833077
57996,59280,192.32184424903355
57996,59284,211.81129479274188
57996,59285,180.56009063540006
57996,59287,221.33234169551207
57996,59288,248.54564362907473
57996,59289,240.76009500344497
57996,59290,144.7153380312548
57996,59293,150.56334062803487
57996,59294,199.42128975848195
57996,59297,211.52898703104128
57996,59298,224.08427539710328
57996,59303,199.40005139880964
57996,59304,186.9453827440257
57996,59306,243.48952829932605
57996,59310,243.98619701504404
57996,59312,293.842893139284
57996,59313,317.64668259488286
57996,59314,275.139978397098
57996,59315,274.65612717612055
57996,59316,309.5259315286328
57996,59317,309.02139677850874
57996,59318,310.77498688085376
57996,59319,319.834357830404
57996,59324,336.65200706777046
57996,59456,454.7669682180372
57996,59462,378.0542323775381
57996,59469,410.33483826905956
57996,59470,337.2224049739697
57996,59471,327.60181985843207
57996,59473,288.24525174636955
57996,59475,339.96841494572016
57996,59476,309.86208645056587
57996,59477,374.4942775095346
57996,59478,348.85927831187126
57996,59480,268.27183428377475
57996,59481,257.3412356100993
57996,59485,299.9677389863794
57996,59487,331.7145782113624
57996,59488,319.3082739332688
57996,59492,239.8999401965744
57996,59493,285.00407768238756
57996,59500,258.85182081901695
57996,59501,278.210290535965
57996,59502,276.555628166622
57996,59650,578.895520473179
57996,59653,493.3277435248509
57996,59654,557.1091011023174
57996,59655,532.2836639098338
57996,59656,539.2942034739556
57996,59658,595.6786152820597
57996,59659,503.06246142858004
57996,59663,430.2092435489781
57996,59664,517.5682981988281
57996,59673,402.3924656018158
57996,59750,626.5685127141155
57996,59754,673.8854404028958
59071,59072,11.97843765312908
