from,to,cost
50137,50979,1074.5948080742473
50137,50983,1146.1337606320471
50137,50985,1115.5084525218717
50137,50987,1108.9560890922653
50137,54080,1014.8489684216934
50137,54092,1111.4774017236768
50137,54093,1119.8897154790625
50137,54094,1130.6501736295195
50137,54096,1197.2660202483628
50137,54098,1141.116532928069
50137,54099,1225.0010974983027
50246,50247,86.18524687938404
50246,50349,78.80865694628126
50246,50353,147.8724421510129
50246,50442,221.0384798063277
50246,50468,301.2084836999621
50246,50557,355.8104311783198
50246,50564,373.79488955096366
50246,50566,407.7090625604908
50246,50646,430.90491167522214
50246,50655,440.88550604758257
50246,50656,473.5956740967334
50246,50658,485.74037408843157
50246,50659,493.0776290817533
50246,50673,556.6261918585095
50246,50674,536.8619538748503
50246,50739,569.6196429505626
50246,50741,499.6517862577049
50246,50742,506.79301612305034
50246,50745,556.2182245724
50246,50749,575.5759232661275
50246,50750,497.09357766334386
50246,50755,537.8906328883362
50246,50756,568.7494582617122
50246,50758,581.7205034936511
50246,50767,594.9803829207328
50246,50772,571.591103359043
50246,50774,595.0412170989745
50246,50775,682.9941625127665
50246,50776,688.4114856556621
50246,50778,763.1468330313076
50246,50779,809.6963455394259
50246,50787,757.0141048268065
50246,50788,771.9597572216987
50246,50842,614.8633130273607
50246,50844,668.6876858083688
50246,50850,644.1072138162431
50246,50851,638.7573296533517
50246,50852,626.9872418554496
50246,50853,658.2006511188704
50246,50854,665.9927774940725
50246,50858,704.5749503856578
50246,50859,685.0824415589908
50246,50861,640.5071410593399
50246,50862,642.1088889748673
50246,50867,723.5699375270955
50246,50871,727.8097448279282
50246,50873,738.9455867405683
50246,50877,759.7948203772082
50246,50878,735.328522835162
50246,50879,802.4428281536905
50246,50880,777.2548341355576
50246,50884,787.7726857029953
50246,50888,861.2877857824818
50246,50892,909.9858060688699
50246,50950,741.2792042447159
50246,50953,727.1937087004948
50246,50954,762.9903137145008
50246,50956,713.6350830363677
50246,50958,776.1065525503515
50246,50960,761.9310220290904
50246,50962,751.8975747733124
50246,50963,767.5700701135885
50246,50964,784.0647432978195
50246,50965,812.7155251304026
50246,50968,828.508943458811
50246,50971,863.964650621119
50246,50973,850.1345326288867
50246,50978,906.0828777695439
50246,50979,885.0097682765638
50246,50983,946.7508494033275
50246,50985,918.9311925243233
50246,50987,915.6592547172788
50246,54080,848.2547155603799
50246,54092,928.7986182238125
50246,54093,929.9609205950986
50246,54094,946.7227358581717
50246,54096,1006.3886013704272
50246,54098,958.9521290407489
50246,54099,1035.1803380001902
50247,50349,69.73819055102715
50247,50353,212.89792699703298
50247,50442,185.4580106483883
50247,50468,335.63505018847326
50247,50557,339.2685323298531
50247,50564,393.2293466802835
50247,50566,441.5583214705931
50247,50646,405.53174710136415
50247,50655,434.5668851847943
50247,50656,469.7575251677619
50247,50658,472.7689919057333
50247,50659,484.683940495288
50247,50673,597.334251613804
50247,50674,567.1066350489986
50247,50739,523.9530274747102
50247,50741,456.43735712863656
50247,50742,475.3673352450276
50247,50745,518.246811685217
50247,50749,547.4744761516328
50247,50750,476.10948624356394
50247,50755,525.4798376972576
50247,50756,565.3261431613614
50247,50758,565.3814372858707
50247,50767,591.6833879269919
50247,50772,595.448034419104
50247,50774,611.8666841824918
50247,50775,707.8088350153338
50247,50776,719.5028290754867
50247,50778,804.7662947162364
50247,50779,863.9185494208568
50247,50787,792.1986143304098
50247,50788,807.3012997700536
50247,50842,582.1119379255911
50247,50844,626.7892301465205
50247,50850,618.2236686901476
50247,50851,622.647512305422
50247,50852,615.1421726416762
50247,50853,650.6192406855719
50247,50854,641.6524189218497
50247,50858,685.3436279328624
50247,50859,669.6796843503062
50247,50861,639.0842106658104
50247,50862,645.9810816034712
50247,50867,717.2125453684489
50247,50871,745.8835889733261
50247,50873,760.3983687358185
50247,50877,772.8796246684508
50247,50878,761.2434183575056
50247,50879,821.9307197228055
50247,50880,803.8390322703888
50247,50884,813.855869843302
50247,50888,891.4016426068592
50247,50892,952.155141544742
50247,50950,715.2578664079352
50247,50953,713.3845533069675
50247,50954,735.2671761724797
50247,50956,702.1059953545503
50247,50958,764.1863687547008
50247,50960,754.4758263632058
50247,50962,750.8005483757823
50247,50963,772.2562386447175
50247,50964,788.5980225373789
50247,50965,811.3035380994746
50247,50968,823.9421031008518
50247,50971,883.819233683164
50247,50973,867.1700343312035
50247,50978,922.7269922131245
50247,50979,897.0415215687303
50247,50983,977.681927499948
50247,50985,942.6434675433445
50247,50987,933.2639143358577
50247,54080,836.2737064841361
50247,54092,932.2242681846037
50247,54093,942.4174036150177
50247,54094,951.5575350979086
